element,fault_key,name,name_fixed
STREET,DUPLICATE_WORD,AIRE DE DEYME TOULOUSE SUD SUD,AIRE DE DEYME TOULOUSE SUD
STREET,DUPLICATE_WORD,ALLEE DE LA L T T,ALLEE DE LA LTT
STREET,DUPLICATE_WORD,ALLEE DES DES ESTIVES,ALLEE DES ESTIVES
STREET,DUPLICATE_WORD,BOULEVARD BOULEVARD JOHN COCKERILL,BOULEVARD JOHN COCKERILL
STREET,DUPLICATE_WORD,CHEMIN CHEMIN DE LA BASSE GUIHUERE,CHEMIN DE LA BASSE GUIHUERE
STREET,DUPLICATE_WORD,CHEMIN CHEMIN DE L AERODROME,CHEMIN DE L AERODROME
STREET,DUPLICATE_WORD,CHEMIN D D A,CHEMIN DDA
STREET,DUPLICATE_WORD,CHEMIN DE DE CHANTEMERLE,CHEMIN DE CHANTEMERLE
STREET,DUPLICATE_WORD,CHEMIN DE DE LA BOURIETTE DE SAINT AMANS,CHEMIN DE LA BOURIETTE DE SAINT AMANS
STREET,DUPLICATE_WORD,CHEMIN DE LA LA FREYDIERE,CHEMIN DE LA FREYDIERE
STREET,DUPLICATE_WORD,CHEMIN DE LA LA PERCHE,CHEMIN DE LA PERCHE
STREET,DUPLICATE_WORD,CHEMIN DE SERRE DE SERRE DE BEAUVEZER,CHEMIN DE SERRE DE BEAUVEZER
STREET,DUPLICATE_WORD,CHEMIN DU DU BOIS DES PAUVRES,CHEMIN DU BOIS DES PAUVRES
STREET,DUPLICATE_WORD,ESPLANADE ESPLANADE EGLANTYNE JEBB,ESPLANADE EGLANTYNE JEBB
STREET,DUPLICATE_WORD,GRAND PLACE PLACE DU GENERAL DE GAULLE,GRAND PLACE DU GENERAL DE GAULLE
STREET,DUPLICATE_WORD,GRAND RUE GRAND RUE,GRAND RUE
STREET,DUPLICATE_WORD,IMPASSE DE DE SAUVAZOUX,IMPASSE DE SAUVAZOUX
STREET,DUPLICATE_WORD,IMPASSE DE LA LA BOUDAZIERE,IMPASSE DE LA BOUDAZIERE
STREET,DUPLICATE_WORD,IMPASSE DE LA LA ZA DU VE,IMPASSE DE LA ZA DU VE
STREET,DUPLICATE_WORD,IMPASSE DU COTEAU DE DE SAINT PABU,IMPASSE DU COTEAU DE SAINT PABU
STREET,DUPLICATE_WORD,IMPASSE DU PIC D D AYOUS,IMPASSE DU PIC D AYOUS
STREET,DUPLICATE_WORD,IMPASSE J J ETIENNE LENOIR,IMPASSE JEAN JOSEPH ETIENNE LENOIR
STREET,DUPLICATE_WORD,LE MOULIN DU DU VIGNEAU,LE MOULIN DU VIGNEAU
STREET,DUPLICATE_WORD,LIEU DIT LA LA BONNEAU,LIEU DIT LA BONNEAU
STREET,DUPLICATE_WORD,LIEU DIT LA LA MALADRIE,LIEU DIT LA MALADRIE
STREET,DUPLICATE_WORD,LIEU DIT LA LA MAULEON,LIEU DIT LA MAULEON
STREET,DUPLICATE_WORD,LIEU DIT LA LA TISSEAU,LIEU DIT LA TISSEAU
STREET,DUPLICATE_WORD,PASSAGE A NIVEAU PASSAGE A NIVEAU 67,PASSAGE A NIVEAU 67
STREET,DUPLICATE_WORD,ROND POINT POINT DU VERNAY,ROND POINT DU VERNAY
STREET,DUPLICATE_WORD,ROUTE DE DE BEAUJEU,ROUTE DE BEAUJEU
STREET,DUPLICATE_WORD,ROUTE ROUTE D ESPES,ROUTE D ESPES
STREET,DUPLICATE_WORD,RUE DE DE LA BOUCARDE,RUE DE LA BOUCARDE
STREET,DUPLICATE_WORD,RUE DE LA LA BONTAIRIE,RUE DE LA BONTAIRIE
STREET,DUPLICATE_WORD,RUE DU CHEMIN DE LA LA PLAINE,RUE DU CHEMIN DE LA PLAINE
STREET,DUPLICATE_WORD,RUELLE DES DES ROCHERS,RUELLE DES ROCHERS
STREET,DUPLICATE_WORD,RUE RUE DE L ANDROUNE,RUE DE L ANDROUNE
STREET,DUPLICATE_WORD,ZONE ARTISANALE ARTISANALE SAINTE HELENE,ZONE ARTISANALE SAINTE HELENE
STREET,DUPLICATE_WORD,ZONE D ACTIVITE D ACTIVITE LES RANDONNAYS,ZONE D ACTIVITE LES RANDONNAYS
STREET,DUPLICATE_WORD,ZONE D AMENAGEMENT CONCERTE LA LA QUEUE AU LOUP,ZONE D AMENAGEMENT CONCERTE LA QUEUE AU LOUP
STREET,TYPO_ERROR,CHEMIN DE BRISEMUR635,CHEMIN DE BRISEMUR
STREET,TYPO_ERROR,CHEMIN DES 4VENTS,CHEMIN DES QUATRE VENTS
STREET,TYPO_ERROR,CHEMIN DU PUIFRAUD3,CHEMIN DU PUIFRAUD
STREET,TYPO_ERROR,IMPASSE DE L 4GLISE,IMPASSE DE L EGLISE
STREET,TYPO_ERROR,LOTISSEMENT LES CHARMILLES3,LOTISSEMENT LES CHARMILLES
STREET,TYPO_ERROR,RUE DES 4VENTS,RUE DES QUATRE VENTS
STREET,TYPO_ERROR,RUE DU 6 MAI1802,RUE DU 6 MAI 1802
STREET,TYPO_ERROR,VALLEE DE LA NERE5,VALLEE DE LA NERE
