fault_key,name,name_fixed
DUPLICATE_WORD,AIRE DE DEYME TOULOUSE SUD SUD,AIRE DE DEYME TOULOUSE SUD
DUPLICATE_WORD,ALLEE DE LA L T T,ALLEE DE LA LTT
DUPLICATE_WORD,ALLEE DES DES ESTIVES,ALLEE DES ESTIVES
DUPLICATE_WORD,BOULEVARD BOULEVARD JOHN COCKERILL,BOULEVARD JOHN COCKERILL
DUPLICATE_WORD,CHEMIN CHEMIN DE LA BASSE GUIHUERE,CHEMIN DE LA BASSE GUIHUERE
DUPLICATE_WORD,CHEMIN CHEMIN DE L AERODROME,CHEMIN DE L AERODROME
DUPLICATE_WORD,CHEMIN D D A,CHEMIN DDA
DUPLICATE_WORD,CHEMIN DE DE CHANTEMERLE,CHEMIN DE CHANTEMERLE
DUPLICATE_WORD,CHEMIN DE DE LA BOURIETTE DE SAINT AMANS,CHEMIN DE LA BOURIETTE DE SAINT AMANS
DUPLICATE_WORD,CHEMIN DE LA LA FREYDIERE,CHEMIN DE LA FREYDIERE
DUPLICATE_WORD,CHEMIN DE LA LA PERCHE,CHEMIN DE LA PERCHE
DUPLICATE_WORD,CHEMIN DE SERRE DE SERRE DE BEAUVEZER,CHEMIN DE SERRE DE BEAUVEZER
DUPLICATE_WORD,CHEMIN DU DU BOIS DES PAUVRES,CHEMIN DU BOIS DES PAUVRES
DUPLICATE_WORD,ESPLANADE ESPLANADE EGLANTYNE JEBB,ESPLANADE EGLANTYNE JEBB
DUPLICATE_WORD,GRAND PLACE PLACE DU GENERAL DE GAULLE,GRAND PLACE DU GENERAL DE GAULLE
DUPLICATE_WORD,GRAND RUE GRAND RUE,GRAND RUE
DUPLICATE_WORD,IMPASSE DE DE SAUVAZOUX,IMPASSE DE SAUVAZOUX
DUPLICATE_WORD,IMPASSE DE LA LA BOUDAZIERE,IMPASSE DE LA BOUDAZIERE
DUPLICATE_WORD,IMPASSE DE LA LA ZA DU VE,IMPASSE DE LA ZA DU VE
DUPLICATE_WORD,IMPASSE DU COTEAU DE DE SAINT PABU,IMPASSE DU COTEAU DE SAINT PABU
DUPLICATE_WORD,IMPASSE DU PIC D D AYOUS,IMPASSE DU PIC D AYOUS
DUPLICATE_WORD,IMPASSE J J ETIENNE LENOIR,IMPASSE JEAN JOSEPH ETIENNE LENOIR
DUPLICATE_WORD,LE MOULIN DU DU VIGNEAU,LE MOULIN DU VIGNEAU
DUPLICATE_WORD,LIEU DIT LA LA BONNEAU,LIEU DIT LA BONNEAU
DUPLICATE_WORD,LIEU DIT LA LA MALADRIE,LIEU DIT LA MALADRIE
DUPLICATE_WORD,LIEU DIT LA LA MAULEON,LIEU DIT LA MAULEON
DUPLICATE_WORD,LIEU DIT LA LA TISSEAU,LIEU DIT LA TISSEAU
DUPLICATE_WORD,PASSAGE A NIVEAU PASSAGE A NIVEAU 67,PASSAGE A NIVEAU 67
DUPLICATE_WORD,ROND POINT POINT DU VERNAY,ROND POINT DU VERNAY
DUPLICATE_WORD,ROUTE DE DE BEAUJEU,ROUTE DE BEAUJEU
DUPLICATE_WORD,ROUTE ROUTE D ESPES,ROUTE D ESPES
DUPLICATE_WORD,RUE DE DE LA BOUCARDE,RUE DE LA BOUCARDE
DUPLICATE_WORD,RUE DE LA LA BONTAIRIE,RUE DE LA BONTAIRIE
DUPLICATE_WORD,RUE DU CHEMIN DE LA LA PLAINE,RUE DU CHEMIN DE LA PLAINE
DUPLICATE_WORD,RUELLE DES DES ROCHERS,RUELLE DES ROCHERS
DUPLICATE_WORD,RUE RUE DE L ANDROUNE,RUE DE L ANDROUNE
DUPLICATE_WORD,ZONE ARTISANALE ARTISANALE SAINTE HELENE,ZONE ARTISANALE SAINTE HELENE
DUPLICATE_WORD,ZONE D ACTIVITE D ACTIVITE LES RANDONNAYS,ZONE D ACTIVITE LES RANDONNAYS
DUPLICATE_WORD,ZONE D AMENAGEMENT CONCERTE LA LA QUEUE AU LOUP,ZONE D AMENAGEMENT CONCERTE LA QUEUE AU LOUP
TYPO_ERROR,CHEMIN DE BRISEMUR635,CHEMIN DE BRISEMUR
TYPO_ERROR,CHEMIN DES 4VENTS,CHEMIN DES QUATRE VENTS
TYPO_ERROR,CHEMIN DU PUIFRAUD3,CHEMIN DU PUIFRAUD
TYPO_ERROR,IMPASSE DE L 4GLISE,IMPASSE DE L EGLISE
TYPO_ERROR,LOTISSEMENT LES CHARMILLES3,LOTISSEMENT LES CHARMILLES
TYPO_ERROR,RUE DES 4VENTS,RUE DES QUATRE VENTS
TYPO_ERROR,RUE DU 6 MAI1802,RUE DU 6 MAI 1802
TYPO_ERROR,VALLEE DE LA NERE5,VALLEE DE LA NERE
